file,sprite,id,kind,tier,upgrades_from,upgrades_to,rarity,status,name_key,name_en,name_ko,effect_ko,effect_en
Legacy of the Illusionist,GreatSword_Laser,1117,weapon,3,17,,,active,WeaponGreatsword_PurpleCooldown_Name,Legacy of the Illusionist,환영술사의 유산,마법서 가속이 50% 증가합니다.,Grimoire Haste increases by 50%.
Library Spectral Sealing Society Mark I,katana_Dash_Tier2,416,weapon,2,400,417,,active,Weapon_0416_Name,Library Spectral Sealing Society Mark I,도서관 혼령봉인연구회 제1형,"대시 공격 피해가 40% 증가하고, 대시 횟수 소모 시 혼령이 근처 적에게 대시 공격을 2회 수행합니다. (재사용 대기시간 2.5초)","Dash Attack Damage increases by 40%, and when Dash Count is consumed, a spirit performs Dash attack on nearby enemies twice. (Cooldown: 2.5 seconds)"
Library Spectral Sealing Society Mark II,katana_Dash_Parry,417,weapon,3,416,,,active,Weapon_0417_Name,Library Spectral Sealing Society Mark II,도서관 혼령봉인연구회 제2형,"혼령의 대시 공격 재사용 대기시간이 1초로 변경되며, 대시 횟수 1당 10%씩 감소합니다. / 납도 무적 판정 시간이 50% 증가하며, 공격을 막아낼 경우 혼령이 대시 공격을 대시 횟수만큼 수행합니다.","The cooldown of the spirit's Dash attack is changed to 1 second and is reduced by 10% for each Dash Count. / The invincibility duration of Sheath is increased by 50%, and if an attack is blocked, the spirit performs the Dash attack equal to Dash Count."
Lightless Blade,Icon_Dagger_Tier3_C,26,weapon,3,22,,,active,Weapon_0026_Name,Lightless Blade,빛 없는 칼날,대시 소모 시 대시 공격이 대시 공격: 검상 감옥으로 변경됩니다.,"When Dash is used, Dash attack changes to Dash Attack: Blade Prison"
Lightning Dagger,Icon_Dagger_MinorLightning,1203,weapon,2,20,1204 1205,,active,Weapon_Lightning_Name,Lightning Dagger,번개 단검,무기 공격 시 자신의 번개속성 피해의 25%만큼 추가 피해를 가합니다.,"When performing a Weapon Attack, deal additional damage to the target equal to 25% of Lightning Damage."
Lightning Flash,katana_Lightning_DarkCloud,405,weapon,3,404,,,active,Weapon_0405_Name,Lightning Flash,전광일각,감전으로 피해를 입힐 시 '축전' 1스택을 얻습니다. (최대 10) / 특수 공격: 강베기 시 '축전'을 2스택 소모하여 특수 공격: 일섬을 시전합니다.,Gain 1 stack of 'Electric Charge' when dealing damage with Electrocution. (Max 10) / Consume 2 stacks of 'Electric Charge' to perform Special Attack: Issen upon Special Attack: Heavy Slash.
Lightning Greatsword E2G,GreatSword_LightBladeMinor,1112,weapon,2,10,1109 1113,,active,WeaponGreatsword_Lightning_Name,"Lightning Greatsword ""E2G""","전격 대검 ""E2G""",무기 공격 시 자신의 번개속성 피해의 30%만큼 추가 피해를 가합니다.,"When performing a Weapon Attack, deal additional damage to the target equal to 30% of Lightning Damage."
Lightning Greatsword E3G,GreatSword_LightBlade,1109,weapon,3,1112,,,active,WeaponGreatsword_LightningT3_Name,"Lightning Greatsword ""E3G""","전격 대검 ""E3G""",5회 공격마다 먹구름 수치를 5개 획득합니다. 특수 공격: 소용돌이 사용 시 먹구름의 소모 속도가 10초간 100% 증가하는 버프를 획득합니다. (최대 5 스택),"Every 5 attacks, gain 5 Storm Cloud stacks. When using Special Attack: Whirlwind, gain a buff that increases Consumption Speed of Storm Cloud by 100% for 10 seconds. (Max 5 stacks)"
Lightning Greatsword S3G,GreatSword_LightBlade2,1113,weapon,3,1112,,,active,WeaponGreatsword_LightningT3Shock_Name,"Lightning Greatsword ""S3G""","전격 대검 ""S3G""","무기 공격 시, 대상에게 감전을 부여합니다. 감전 피해량이 33% 증가합니다.","When Weapon Attack, inflict Electrocution on the target. Electrocution extra damage increases by 33%."
Lightning’s Wrath,Icon_Dagger_Lightning1,1205,weapon,3,1203,,,active,Weapon_Lightning3_Name,Lightning’s Wrath,번개의 분노,무기 공격 시 70% 확률로 감전 디버프를 부여합니다. 감전 중첩이 1 증가합니다.,"When using Weapon Attack, there's a 70% chance to apply an Electrocution debuff. Electrocution stacks increases by 1."
Long Blade 'Onohara',katana_Sheath_Tier2,401,weapon,2,400,402 403,,active,Weapon_0401_Name,Long Blade 'Onohara',태도 '오노하라',특수 공격: 강베기가 공격 속도의 영향을 받습니다. 공격 속도가 15% 증가합니다.,Special Attack: Heavy Slash is affected by Attack Speed. Attack Speed increases by 15%.
Loving Gaze,Icon_GreatSword_Tier3_B,15,weapon,3,11,,,active,Weapon_0015_Name,Loving Gaze,사랑의 시선,"특수 공격: 소용돌이의 치명타 확률이 100% 증가하고, 특수 공격 속도가 50% 빨라집니다.",Increases Critical Chance of Special Attack: Whirlwind by 100% and Special Attack Speed by 50%.
M-9199,Crossbow_Pierce,122,weapon,2,100,123,,active,Weapon_0122_Name,M-9199,M-9199,"일반 공격이 적을 관통하고, 피해량이 15% 증가합니다. 특수 공격이 ‘특수 공격: 탄환 응축’으로 변경됩니다.",Normal Attack Pierces enemies and increases damage by 15%. Special Attack is changed to ‘Special Attack: Ammo Compression’.
Magic Wand,Icon_ShieldStaff_Basic,1004,weapon,2,0,1008 1009 1010,,active,Weapon_MagicalWand_Name,Magic Wand,매직 완드,무기 공격이 매직 미사일을 사용하는 형태로 변경됩니다.,Weapon Attack is changed to a form that uses Magic Missile.
Malaspina,Staff_Ice_Tier3Freeze,523,weapon,3,521,,,active,Weapon_0523_Name,Malaspina,말라스피나,무기 공격 시 30% 확률로 동상을 부여합니다. 얼음속성 피해가 5 증가합니다.,"When Weapon Attack, 30% chance to apply Frostbite. Cold Damage increases by 5."
Mini Cannon,Crossbow_Grenade,118,weapon,3,108,,,active,Weapon_0118_Name,Mini Cannon,미니 캐논,"일반 공격이 유탄 발사로 변경됩니다. 발사 속도가 공격 속도에 영향을 받지 않지만, 추가 공격 속도당 피해량과 범위가 1% 증가합니다.","Fire a Grenade Launch with Normal Attack. Its firing speed is not affected by Attack Speed, but its damage and area increase by 1% for each additional Attack Speed."
Minigun,Crossbow_Minigun,126,weapon,3,110,,,active,Weapon_126_Name,Minigun,미니건,번개 화살 발사 확률이 10% 증가합니다. 특수 공격이 특수 공격: 포화로 변경됩니다.,Lightning Arrow firing chance increases by 10%. Special Attack changes to Special Attack: Barrage.
Minimalism,Icon_GreatSword_Tier2_C,13,weapon,,,,,active,Weapon_0013_Name,Minimalism,최소주의,,
Mischievous Prank,DoKkaeVi,1119,weapon,3,1100,,,active,WeaponGreatsword_ClubAdvanced_Name,Mischievous Prank,짓궂은 장난,특수 공격이 특수 공격: 잎 폭발로 변경됩니다. 특수 공격 피해에 일반 공격 피해가 합산됩니다.,Special Attack changes to Special Attack: Leaf Explosion. Adds Normal Attack Damage to Special Attack damage.
Mysterious Twig,WeaponTree,9999,weapon,,,,,active,Weapon_9999_Name,Mysterious Twig,신비한 나뭇가지,,
Negligence,Icon_GreatSword_Tier3_A,14,weapon,3,11,,,active,Weapon_0014_Name,Negligence,묵살,"특수 공격 피해가 15% 증가합니다. / 특수 공격: 소용돌이가 즉시 충전되고, 특수 공격 속도가 15% 감소합니다.","Special Attack Damage increases by 15%. / Special Attack: Whirlwind is immediately charged, and Special Attack Speed decreases by 15%."
Oracle’s Staff,Staff_Ice_Tier3IceSpear,522,weapon,3,521,,,active,Weapon_0522_Name,Oracle’s Staff,무녀의 예언,무기 공격을 3회 적중시키면 조준 방향으로 아티팩트 볼루스파를 발동시킵니다.,Activate artifact Voluspa in the aimed direction after hitting Weapon Attack 3 times.
Overhanging Storm Cloud,Icon_Dagger_Lightning0,1204,weapon,3,1203,,,active,Weapon_Lightning2_Name,Overhanging Storm Cloud,드리운 암운,"먹구름의 추가 피해량이 15%, 번개속성 피해가 5 증가합니다.","Extra Storm Cloud damage increases by 15%, Lightning Damage increases by 5."
Perfect Balance,Icon_ShieldSword_Tier2_B,2,weapon,2,0,6 7,,active,Weapon_0002_Name,Perfect Balance,공방일체,"공격 속도가 15% 증가하고, 일반 공격 시 전방을 자동으로 가드합니다.","Increases Attack Speed by 15% and, when performing Normal Attack, automatically uses Block in front."
Pristine Form,Icon_GreatSword_N_Tier3_D,1118,weapon,3,17,,,active,WeaponGreatsword_PurpleBiglazer_Name,Pristine Form,태초의 형태,"일반 공격, 대시 공격의 레이저가 더 커지고 피해량이 25% 증가합니다.",Normal Attack and Dash attack lasers become larger and damage is increased by 25%.
Protection of the Fuzz,Icon_ShieldSword_Tier2_A,1,weapon,2,0,4 5 1020,,active,Weapon_0001_Name,Protection of the Fuzz,솜털의 보호,가드 성공 시 가드에 소모되는 MP가 50% 감소합니다.,"Upon a successful Block, the Block MP cost is reduced by 50%."
Purple Jacket,Crossbow_Poison,121,weapon,3,119,,,active,Weapon_0121_Name,Purple Jacket,자갑벌궁,중독 중첩이 3 증가합니다.,Poison stack increases by 3.
Quarterstaff,Staff,500,weapon,1,,501 505 509 513 517 521 525 529,,active,Weapon_0500_Name,Quarterstaff,봉,,
Rapier,Icon_Rapier_Tier2,1006,weapon,2,0,1007,,active,Weapon_Rapier_Name,Rapier,레이피어,"대시 공격이 비활성화되고, 일반 공격이 대시 공격 판정으로 변경됩니다. 공격 속도가 10% 증가합니다.","Dash attack is disabled, and Normal Attack is changed to Dash attack type. Attack Speed increases by 10%."
Red Snake Crush,GreatSword_Fire_Axe,1123,weapon,3,1122,,,active,Weapon_1123_Name,Red Snake Crush,붉은 뱀의 분쇄,"아티팩트 붉은 뱀의 눈의 피해량이 33% 증가하고, 일반 공격시 재사용 대기시간이 2.5초 감소합니다.","Artifact Damage dealt by Red Snake Eyes increases by 33%, and cooldown is reduced by 2.5 seconds when using Normal Attack."
Rendblade - Drifting Willow,katana_Basic_Iaido,410,weapon,3,409,,,active,Weapon_0410_Name,Rendblade: Drifting Willow,검참도: 비류,"치명타 확률이 30% 증가하고, 일반 공격: 대거합베기의 범위가 전체공격으로 변경됩니다.","Critical Chance increases by 30%, and the range of Normal Attack: Great Iaido Slash changes to a full attack."
Rendblade - Heavenrend,katana_Basic_Tier2,409,weapon,2,400,410 411,,active,Weapon_0409_Name,Rendblade: Heavenrend,검참도: 천광삭,일반 공격을 통해 검참을 획득합니다. 특수 공격: 강베기가 일반 공격: 거합베기로 변경됩니다.,Gain Sword Strike through Normal Attack. Special Attack: Heavy Slash changes to Normal Attack: Iaido Slash.
Rendblade - RuinDance,katana_Basic_Speed,411,weapon,3,409,,,active,Weapon_0411_Name,Rendblade: RuinDance,검참도: 파무,"일반 공격: 대거합베기를 사용할 수 없지만, 검참 게이지 100% 시 난무 버프를 획득합니다.","You cannot use Normal Attack: Great Iaido Slash, but when the Sword Strike gauge is at 100%, you gain the Barrage buff."
Ringless Staff,Staff_Extend_Tier3_Crit,507,weapon,3,505,,,active,Weapon_0507_Name,Ringless Staff,무환석장,"치명타 확률 능력치가 30% 이하인 경우, 주는 피해가 20% 증가합니다.","If Critical Chance is below 30%, increase damage dealt by 20%."
Ruadhslea Spear,Staff_Spear_Tier3Damage,514,weapon,3,513,,,active,Weapon_0514_Name,Ruadhslea Spear,돌격창 루아슐레아,공격 속도가 10% 증가합니다. 무기 공격 시 대시 횟수 능력치 1당 피해량이 5% 증가합니다.,Attack Speed increases by 10%. Damage increases by 5% for every point of Dash Count attribute when attacking with a weapon.
Sacred Jar,CarrotPot,530,weapon,3,529,,,active,Weapon_0530_Name,Sacred Jar,신성한 항아리,일반 공격에는 동료가 입히는 피해량 능력치가 합산됩니다.,Normal Attack combines Companion Damage stats.
Scale of the Astral Sea,Staff_Special_Tier3Crystal,510,weapon,3,509,,,active,Weapon_0510_Name,Scale of the Astral Sea,성해의 편린,가드 성공 후 일반 공격 시 ‘수정 폭발’을 사용합니다.,"After a successful Block, use 'Crystal Explosion' on Normal Attack."
Silence of Everfrost,katana_Ice_Eco,420,weapon,3,419,,,active,Weapon_0420_Name,Silence of Everfrost,만년설의 침묵,태클이 특수 공격: 아이스 슬라이딩으로 변경됩니다. 무적 시간 동안 적의 공격을 막으면 아티팩트 빙하의 메아리가 즉시 발동됩니다. 발동될 때 주변 적에게 피해를 입힙니다. (피해량: 얼음속성 피해의 120%),"Tackle changes to Special Attack: Ice Sliding. Blocking enemy attacks during invincibility triggers the artifact Echo of the Glacier immediately. Upon activation, it deals damage to nearby enemies. (Damage: 120% of Cold Damage)"
Solis Braca,Staff_Fire_Tier3FlameSword,519,weapon,3,517,,,active,Weapon_0519_Name,Solis Braca,솔리스 브라카,태양검 회수 시 1개가 추가로 회수됩니다. 특수 공격이 특수 공격: 태양창 단조로 변경됩니다.,"When retrieving Solar Blade, you will retrieve an additional 1. Special Attack is changed to Special Attack: Solar Spear Forging."
Solis Cineris,GreatSword_Fire,1124,weapon,3,1122,,,active,Weapon_1124_Name,Solis Cineris,솔리스 키네리스,무기 공격 시 태양검이 2회 추가 발동합니다. 태양검의 치명타 피해가 36% 증가합니다.,Solar Blade triggers an additional 2 times when Weapon Attack. Increases Critical Damage of Solar Blade by 36%.
Solis Ekli,katana_Fire_FlameSword,422,weapon,3,406,,,active,Weapon_0422_Name,Solis Ekli,솔리스 에클리,납도가 일식으로 변경됩니다.,Sheath changes to Eclipse.
Solis Imber,Dagger_FlameSword,1214,weapon,3,1200,,,active,Weapon_FireDaggerFlameSword_Name,Solis Imber,솔리스 임베르,특수 공격: 퓨리 적중 시 태양검을 전부 발동합니다.,"On Special Attack: Fury hit, activate all Solar Blade."
Solis Iubar,Crossbow_FlameSword,124,weapon,3,108,,,active,Weapon_0124_Name,Solis Iubar,솔리스 유바르,"무기 피해량이 15% 감소하지만, 태양검 피해량이 35% 증가합니다.","Weapon Damage decreases by 15%, but Solar Blade Damage increases by 35%."
Solis Missio,ShieldSword_FireGuard,1025,weapon,3,1024,,,active,Weapon_SolisMissio_Name,Solis Missio,솔리스 미시온,'재점화' 효과를 획득합니다. 가드 중 이동 속도가 90% 감소합니다.,"Gain the 'Reignite' effect. While Block, Move Speed is reduced by 90%."
Spike Club,Icon_GreatClub_Spike,1101,weapon,3,1100,,,active,WeaponGreatsword_SpikeClub_Name,Spike Club,가시 방망이,무기 공격으로 치명타 피해적중 시 관통 가시를 3개 발사합니다. 공격의 추가 치명타 피해량 20%당 가시가 하나 추가됩니다. (피해량: 물리 피해의 26%),Fires 3 piercing spikes upon a Critical Damage hit with a Weapon Attack. An additional spike is added for every 20% extra critical damage of the attack. (Damage: 26% of Physical Damage)
Staff Lightning Tier 3 Cloud,Staff_Lightning_Tier3Cloud,527,weapon,,,,,active,Weapon_0527_Name,Staff Lightning Tier 3 Cloud,Staff Lightning Tier 3 Cloud,,
Staff of Embers,Staff_Fire,517,weapon,2,500,518 519,,active,Weapon_0517_Name,Staff of Embers,잿불의 봉,"무기 공격의 피해량이 15% 감소하지만, 화염속성 피해 기반으로 변경됩니다.","Damage dealt by Weapon Attack is reduced by 15%, but it is changed to Fire Damage."
Staff of Great Might,Staff_Rolling_Tier3Protection,502,weapon,3,501,,,active,Weapon_0502_Name,Staff of Great Might,대력곤,"일반 공격 피해가 30% 증가하고, 공격 도중에는 방어력의 5%만큼 보호막을 얻습니다. (20초마다 갱신)","Normal Attack Damage increases by 30%, and while attacking, gain Shield equal to 5% of Defense. (Refreshes every 20 sec.)"
Staff of Rime,Staff_Ice,521,weapon,2,500,522 523,,active,Weapon_0521_Name,Staff of Rime,백상의 봉,"무기 공격의 피해량이 15% 감소하지만, 얼음속성 피해 기반으로 변경됩니다.","Damage dealt by Weapon Attack is reduced by 15%, but it is changed to Cold Damage."
Staff of Storms,Staff_Lightning,525,weapon,2,500,526 528,,active,Weapon_0525_Name,Staff of Storms,뇌정의 봉,"무기 공격의 피해량이 15% 감소하지만, 번개속성 피해 기반으로 변경됩니다.","Damage dealt by Weapon Attack is reduced by 15%, but it is changed to Lightning Damage."
Starlight,Icon_ShieldSword_Tier3_A,4,weapon,3,1,,,active,Weapon_0004_Name,Starlight,별의 반짝임,가드 성공 시 공격자의 피해량의 300%를 반사합니다. (퍼펙트 가드 시 400%),"On a successful Block, reflects 300% of the attacker’s damage. (400% on Perfect guard)"
Steel Greatsword,Icon_GreatSword_Tier1,10,weapon,1,,11 12 17 1100 1102 1104 1107 1112 1122,,active,Weapon_0010_Name,Steel Greatsword,강철 대검,,
Stone Sword,ShieldSword_StoneSword,1020,weapon,3,1,,,active,Weapon_SwordAndShieldDefense_Name,Stone Sword,바위검,특수 공격: 휩쓸기가 특수 공격: 방패치기로 변경됩니다.,Special Attack: Cleave is changed to Special Attack: Shield Bash.
Successor,StaffThrow_Magic,532,weapon,3,529,,,active,Weapon_0532_Name,Successor,계승자,마법서 피해량이 30% 증가합니다.,Grimoire Damage increases by 30%.
Superconductor,ShieldSword_Lightning_Spear,1018,weapon,3,1016,,,active,Weapon_LightningSwordAndShield_T3S_Name,Superconductor,초전도체,특수 공격: 휩쓸기가 특수 공격: 번개 창으로 변경됩니다.,Special Attack: Cleave changes to Special Attack: Lightning Spear.
Swarming Shadow,Icon_GreatSword_N_Tier2_B,12,weapon,2,10,16 1125,,active,Weapon_0012_Name,Swarming Shadow,모이는 그림자,"특수 공격: 소용돌이 충전 시간이 100% 증가하지만, 일반 공격 피해가 20% 증가합니다.","Special Attack: Whirlwind charge time increases by 100%, but Normal Attack Damage increases by 20%."
Swift Regret,Icon_GreatSword_N_Tier3_C,16,weapon,3,12,,,active,Weapon_0016_Name,Swift Regret,짧은 자책,일반 공격의 마지막 공격을 2회 추가로 휘두를 수 있습니다. 일반 공격 피해량이 10% 증가합니다.,You can swing the final attack of the Normal Attack 2 additional times. Increases Normal Attack damage by 10%.
The Awaiting Azureblade,katana_Magic_Tier2,412,weapon,2,400,413 414,,active,Weapon_0412_Name,The Awaiting Azureblade,기다리는 청휘검,납도 시 '검참'을 지속적으로 획득합니다. 마법 사용 시 검참 10을 소모해 마법서 피해량 20%를 증가시킵니다.,Continuously gain 'Blade Slash' when Sheath. Consumes 10 Blade Slash when casting magic to increase Grimoire Damage by 20%.
The Barnacle,Crossbow_SG_C4,127,weapon,3,104,,,active,Weapon_127_Name,The Barnacle,따개비,"일반 공격, 대시 공격 시 점착 폭탄을 부착합니다. 특수 공격이 특수 공격: 폭발로 변경됩니다.","On Normal Attack and Dash attack, attaches Sticky Bomb. Special Attack changes to Special Attack: Explosion."
The Emberforged,GreatSword_Fire_Minor,1122,weapon,2,10,1123 1124,,active,Weapon_1122_Name,The Emberforged,잔불 단조검,무기 공격 시 자신의 화염속성 피해의 30%만큼 추가 피해를 가합니다.,"When performing a Weapon Attack, deal additional damage to the target equal to 30% of Fire Damage."
The Inquisitor,GreatSword_Red2,1115,weapon,3,1107,,,active,WeaponGreatsword_RedSimple_Name,The Inquisitor,이단심문관,무기로 가한 물리 피해가 혼돈 속성으로 적용됩니다. 특수 공격: 소용돌이가 특수 공격: 상처 폭발로 변경됩니다.,Physical Damage dealt with Weapon is applied as Chaos. Special Attack: Whirlwind is changed to Special Attack: Wound Explosion.
The Second,Icon_GreatSword_Tier3_E,18,weapon,,,,,active,Weapon_0018_Name,The Second,두 번째,,
Thunder Sword 'Bronte',katana_Lightning_Tier2,404,weapon,2,400,405 425,,active,Weapon_0404_Name,Thunder Sword 'Bronte',전격도 브론테,"무기 공격의 피해량이 20% 감소하지만, 번개속성 피해 기반으로 변경됩니다.","Damage dealt by Weapon Attack is reduced by 20%, but it is changed to Lightning Damage."
Tiny Destruction,Icon_ShieldSword_Tier2_C,3,weapon,2,0,9 1023,,active,Weapon_0003_Name,Tiny Destruction,작은 파괴,특수 공격: 휩쓸기 피해량이 40% 증가합니다.,Special Attack: Cleave damage increases by 40%.
Tome of Mimicry,Dagger_Magic,1211,weapon,3,1212,,,active,Weapon_Dagger_Tier3_Magic_Name,Tome of Mimicry,모방의 서,특수 공격: 퓨리가 마법서: 복제로 변경됩니다.,Special Attack: Fury changes to Grimoire: Duplicate.
Troubling Delight,GreatSword_Laser_Minor,17,weapon,2,10,1117 1118 1120,,active,Weapon_0017_Name,Troubling Delight,불편한 기쁨,무기 공격이 레이저로 변경됩니다.,Weapon Attack is changed to a form that uses Laser.
Unbound Immersion,Dagger_EvadeT3_Fury,1209,weapon,3,1208,,,active,Weapon_1209_Name,Unbound Immersion,가없는 침잠,회피 1당 몰입의 충전 속도가 0.25% 추가로 증가합니다. 회피에 따른 충전 속도의 상한이 삭제됩니다.,"For every 1 Evasion, Trance’s charge speed increases by an additional 0.25%. The charge speed cap from Evasion is removed."
Viduka,Staff_Lightning_Tier3Chakram2,526,weapon,3,525,,,active,Weapon_0526_Name,Viduka,비듀카,"전격 차크람의 피해량이 20% 증가하고, 회전 반경이 조준점까지 늘어납니다.","Damage dealt by Electro Chakram increases by 20%, and its rotation radius extends to the crosshair."
War Hammer,Icon_ShieldSword_Tier2_IronHammer,1002,weapon,,,,,active,Weapon_Hammer_Name,War Hammer,워 해머,,
Weight of the Sea,Staff_Extend_Tier3_Guard,506,weapon,3,505,,,active,Weapon_0506_Name,Weight of the Sea,바다의 추,"가드 성공 시, 무거운 봉 버프를 획득합니다.","Upon Block success, gain Heavy Staff buff."
Wings of Lightning,Icon_ShieldStaff_Lightning,1010,weapon,3,1004,,,active,Weapon_LightningWand_Name,Wings of Lightning,번개의 날갯짓,무기 공격이 번개속성 피해 기반으로 변경됩니다. 특수 공격의 피해량이 20% 증가합니다.,Weapon Attack is changed to be based on Lightning Damage. Special Attack damage increases by 20%.
Winter Smith's Draftblade,katana_Ice_Tier2,419,weapon,2,400,420 421,,active,Weapon_0419_Name,Winter Smith's Draftblade,겨울 대장장이의 습작,납도는 태클로 변경됩니다. 무기 공격 시 얼음속성 피해의 15%만큼 추가 피해를 가합니다. 얼음속성 피해가 3 증가합니다.,Sheath is replaced with Tackle. Adds additional damage equal to 15% of Cold Damage on Weapon Attack. Cold Damage is increased by 3.
Wooden Club,Icon_GreatClub,1100,weapon,2,10,1101 1119,,active,WeaponGreatsword_Club_Name,Wooden Club,나무 방망이,"더 이상 대시 공격을 쓸 수 없지만, 일반 공격으로 주는 피해가 20% 증가합니다.","Dash attack can no longer be used, but damage dealt by Normal Attack is increased by 20%."
XRA-9,Crossbow_Pierce_Cooldown,123,weapon,3,122,,,active,Weapon_0123_Name,XRA-9,XRA-9,"일반 공격으로 마지막 탄환을 사용할 때, 모든 마법서와 발동형 아티팩트의 현재 재사용 대기시간이 25% 감소합니다.","When using the last bullet with a normal attack, the current cooldown of all Grimoire and Active Artifact is reduced by 25%."
Yui's Short Dagger,katana_Magic_Crit,413,weapon,3,412,,,active,Weapon_0413_Name,Yui's Short Dagger,유이의 소단검,마법서의 치명타 확률이 30% 증가합니다.,Grimoire Critical Chance increases by 30%.
